goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkPathEscape/#03-8  	10000000	       155 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       155 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       158 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       156 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       153 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       940 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       928 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 1000000	      1024 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 1000000	      1032 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       977 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       925 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       930 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       930 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       952 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       924 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       923 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       987 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       932 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       954 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       923 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       930 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       949 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       921 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       926 ns/op	     704 B/op	       2 allocs/op
BenchmarkPathEscape/#04-8  	 2000000	       953 ns/op	     704 B/op	       2 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        43.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        47.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        42.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        44.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        46.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        43.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        43.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryUnescape/#00-8         	30000000	        41.8 ns/op	       8 B/op	       1 allocs/op
